Time_Ma,Depth_mbrt
3.60562387,560
3.607449079,560.1
3.609274287,560.2
3.611099495,560.3
3.612924704,560.4
3.614749912,560.5
3.616575121,560.6
3.618400329,560.7
3.620225538,560.8
3.622050746,560.9
3.623875955,561
3.625701163,561.1
3.627526372,561.2
3.62935158,561.3
3.631176788,561.4
3.633001997,561.5
3.634827205,561.6
3.636652414,561.7
3.638477622,561.8
3.640302831,561.9
3.642128039,562
3.643953248,562.1
3.645778456,562.2
3.647603665,562.3
3.649428873,562.4
3.651254081,562.5
3.65307929,562.6
3.654904498,562.7
3.656729707,562.8
3.658554915,562.9
3.660380124,563
3.662205332,563.1
3.664030541,563.2
3.665855749,563.3
3.667680958,563.4
3.669506166,563.5
3.671331374,563.6
3.673156583,563.7
3.674981791,563.8
3.676807,563.9
3.678632208,564
3.680457417,564.1
3.682282625,564.2
3.684107834,564.3
3.685933042,564.4
3.687758251,564.5
3.689583459,564.6
3.691408668,564.7
3.693233876,564.8
3.695059084,564.9
3.696884293,565
3.698709501,565.1
3.70053471,565.2
3.702359918,565.3
3.704185127,565.4
3.706010335,565.5
3.707835544,565.6
3.709660752,565.7
3.711485961,565.8
3.713311169,565.9
3.715136377,566
3.716961586,566.1
3.718786794,566.2
3.720612003,566.3
3.722437211,566.4
3.72426242,566.5
3.726087628,566.6
3.727912837,566.7
3.729738045,566.8
3.731563254,566.9
3.733388462,567
3.73521367,567.1
3.737038879,567.2
3.738864087,567.3
3.740689296,567.4
3.742514504,567.5
3.744339713,567.6
3.746164921,567.7
3.74799013,567.8
3.749815338,567.9
3.751640547,568
3.753465755,568.1
3.755290963,568.2
3.757116172,568.3
3.75894138,568.4
3.760766589,568.5
3.762591797,568.6
3.764417006,568.7
3.766242214,568.8
3.768067423,568.9
3.769892631,569
3.77171784,569.1
3.773543048,569.2
3.775368256,569.3
3.777193465,569.4
3.779018673,569.5
3.780843882,569.6
3.78266909,569.7
3.784494299,569.8
3.786319507,569.9
3.788144716,570
3.789969924,570.1
3.791795133,570.2
3.793620341,570.3
3.79544555,570.4
3.797270758,570.5
3.799095966,570.6
3.800921175,570.7
3.802746383,570.8
3.804571592,570.9
3.8063968,571
3.808222009,571.1
3.810047217,571.2
3.811872426,571.3
3.813697634,571.4
3.815522843,571.5
3.817348051,571.6
3.819173259,571.7
3.820998468,571.8
3.822823676,571.9
3.824648885,572
3.826474093,572.1
3.828299302,572.2
3.83012451,572.3
3.831949719,572.4
3.833774927,572.5
3.835600136,572.6
3.837425344,572.7
3.839250552,572.8
3.841075761,572.9
3.842900969,573
3.844726178,573.1
3.846551386,573.2
3.848376595,573.3
3.850201803,573.4
3.852027012,573.5
3.85385222,573.6
3.855677429,573.7
3.857502637,573.8
3.859327845,573.9
3.861153054,574
3.862978262,574.1
3.864803471,574.2
3.866628679,574.3
3.868453888,574.4
3.870279096,574.5
3.872104305,574.6
3.873929513,574.7
3.875754722,574.8
