Age_Ma,GR_gAPI
3.69,43.19275176
3.691,42.74453937
3.692,42.30954015
3.693,41.88775276
3.694,41.45362014
3.695,41.01931749
3.696,40.58484594
3.697,40.14787417
3.698,39.75255628
3.699,39.40735846
3.7,39.11320972
3.701,38.88417648
3.702,38.72740394
3.703,38.64287705
3.704,38.65191355
3.705,38.6939811
3.706,38.76907441
3.707,38.9704198
3.708,39.34381206
3.709,39.88921428
3.71,40.5897002
3.711,41.43714172
3.712,42.4418443
3.713,43.59665795
3.714,44.6459349
3.715,45.59248759
3.716,46.43632826
3.717,47.11346181
3.718,47.59689952
3.719,47.88667836
3.72,48.01478553
3.721,47.97172257
3.722,47.75126611
3.723,47.37699593
3.724,46.88435406
3.725,46.21147883
3.726,45.35840734
3.727,44.42353317
3.728,43.45680321
3.729,42.45821922
3.73,41.47090793
3.731,40.78040787
3.732,40.38667656
3.733,40.24529557
3.734,40.29931582
3.735,40.57117735
3.736,41.06084093
3.737,41.6634902
3.738,42.33745004
3.739,43.08270714
3.74,43.81446981
3.741,44.37416717
3.742,44.76183179
3.743,45.03743393
3.744,45.2201196
3.745,45.29674941
3.746,45.27325857
3.747,45.19006711
3.748,45.01960662
3.749,44.76189964
3.75,44.486154
3.751,44.29595234
3.752,44.01114366
3.753,43.67614546
3.754,43.41494742
3.755,43.2295994
3.756,43.10993919
3.757,43.06352602
3.758,43.12001888
3.759,43.27939221
3.76,43.42329669
3.761,43.44099819
3.762,43.33251721
3.763,43.11078955
3.764,42.71522872
3.765,42.14585774
3.766,41.44265914
3.767,40.711523
3.768,39.96886067
3.769,39.39481729
3.77,38.93338533
3.771,38.53243495
3.772,38.19195732
3.773,37.91533395
3.774,37.75191018
3.775,37.70166875
3.776,37.71625218
3.777,37.73968789
3.778,37.78211315
3.779,37.84351579
3.78,37.93691438
3.781,38.0470804
3.782,38.17400784
3.783,38.35253529
3.784,38.4895274
3.785,38.58498535
3.786,38.59900794
3.787,38.46842178
3.788,38.19420487
3.789,37.77742996
3.79,37.26034727
3.791,36.64727327
3.792,35.93822431
3.793,35.16258605
3.794,34.43734124
3.795,33.97029743
3.796,33.7141883
3.797,33.56220422
3.798,33.51375584
3.799,33.5795351
3.8,33.84225559
3.801,34.2643414
3.802,34.84577675
3.803,35.4667436
3.804,36.14564002
3.805,36.88245853
3.806,37.67262361
3.807,38.47567015
3.808,39.29159882
3.809,40.11629337
3.81,40.9251088
3.811,41.7154217
3.812,42.27941947
3.813,42.68611403
3.814,43.01740155
3.815,43.27329456
3.816,43.50070272
3.817,43.61915351
3.818,43.62864892
3.819,43.53929421
3.82,43.60511683
3.821,43.88246571
3.822,44.37131558
3.823,44.92842822
3.824,45.51347473
3.825,46.12645065
3.826,46.72961246
3.827,47.31112683
3.828,47.87100183
3.829,48.4076391
3.83,48.88408116
3.831,49.29337919
3.832,49.63553825
3.833,49.87161342
3.834,49.93050303
3.835,49.81223684
3.836,49.48588197
3.837,48.82838794
3.838,47.83979208
3.839,46.53033165
3.84,45.16240579
3.841,43.78133083
3.842,42.38710875
3.843,41.0917355
3.844,39.97523809
3.845,39.03758601
3.846,38.26795004
3.847,37.66278807
3.848,37.22208251
3.849,36.93986779
3.85,36.69557421
3.851,36.48325558
3.852,36.30290302
3.853,36.20838712
3.854,36.24191164
3.855,36.40345736
3.856,36.72337652
3.857,37.15675778
3.858,37.7035857
3.859,38.36291057
3.86,39.0104381
3.861,39.62158269
3.862,40.19635404
3.863,40.70786663
3.864,41.15536635
3.865,41.53886294
3.866,41.88033755
3.867,42.31601696
3.868,42.84589165
3.869,43.4699522
3.87,44.25485311
3.871,45.19054224
3.872,46.27699788
3.873,47.51772355
3.874,48.86967021
3.875,50.33281166
3.876,51.8798996
3.877,53.48486414
3.878,55.14769601
3.879,56.86839288
3.88,58.42220106
3.881,59.80078239
3.882,61.00416374
3.883,62.06742295
3.884,62.99842332
3.885,63.79718594
3.886,64.48303747
3.887,65.03885772
3.888,65.46124337
3.889,65.75021401
3.89,65.79674255
3.891,65.55985522
3.892,65.03960419
3.893,64.24882529
3.894,63.25037269
3.895,62.04427469
3.896,60.64279717
3.897,59.41210796
3.898,58.38004458
3.899,57.54657684
3.9,56.84422076
3.901,56.22514278
3.902,55.68932846
3.903,55.18546073
3.904,54.57850307
3.905,53.86846933
3.906,53.0555942
3.907,52.22284799
3.908,51.38352229
3.909,50.53761564
3.91,49.68842373
3.911,48.8466728
3.912,48.01236477
3.913,47.1753863
3.914,46.23924887
3.915,45.20396366
3.916,44.06953932
3.917,42.94732269
3.918,41.85284485
3.919,40.78610132
3.92,39.79028061
3.921,38.92763169
3.922,38.19813473
3.923,37.61251468
3.924,37.20980963
3.925,36.99000432
3.926,36.95307747
3.927,37.09627518
3.928,37.42222394
3.929,37.93088979
3.93,38.51440524
3.931,39.01574729
3.932,39.43492992
3.933,39.76934546
