Record,Sample_ID,depth mbsf,age_tuned,tuning target,age model source,benthic d13C VPDB,benthic d18O VPDB,benthic Species,benthic Source,benthic d13C VPDB Corr,benthic d18O VPDB Corr,IsotopeCorrNote,benthic d13C VPDB CorrAdjusted,benthic d18O VPDB CorrAdjusted,benthic_CorrAdjusted_Note,benthic d13C smoothLoess10,benthic d18O smoothLoess10
U1490,"353-U1490A-26H-7,0-2",241.2,16.057,E+T+0.2P,Holbourn et al. 2024,1.45,1.23,CMUND,Holbourn et al. 2024,1.45,1.87,d18O +0.64‰; d13C +0.00‰,1.25,1.97,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,4-6",241.24,16.059,E+T+0.2P,Holbourn et al. 2024,1.53,1.15,OUMB,Holbourn et al. 2024,1.53,1.79,d18O +0.64‰; d13C +0.00‰,1.33,1.89,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,8-10",241.28,16.062,E+T+0.2P,Holbourn et al. 2024,1.3,0.9,CMUND,Holbourn et al. 2024,1.3,1.54,d18O +0.64‰; d13C +0.00‰,1.1,1.64,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,12-14",241.32,16.066,E+T+0.2P,Holbourn et al. 2024,1.27,0.96,CMUND,Holbourn et al. 2024,1.27,1.6,d18O +0.64‰; d13C +0.00‰,1.07,1.7,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,16-18",241.36,16.07,E+T+0.2P,Holbourn et al. 2024,1.4,0.94,CMUND,Holbourn et al. 2024,1.4,1.58,d18O +0.64‰; d13C +0.00‰,1.2,1.68,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,20-22",241.4,16.074,E+T+0.2P,Holbourn et al. 2024,1.5,1.09,CMUND,Holbourn et al. 2024,1.5,1.73,d18O +0.64‰; d13C +0.00‰,1.3,1.83,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,24-26",241.44,16.077,E+T+0.2P,Holbourn et al. 2024,1.52,1.01,CMUND,Holbourn et al. 2024,1.52,1.65,d18O +0.64‰; d13C +0.00‰,1.32,1.75,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,28-30",241.48,16.081,E+T+0.2P,Holbourn et al. 2024,1.25,0.71,CMUND,Holbourn et al. 2024,1.25,1.35,d18O +0.64‰; d13C +0.00‰,1.05,1.45,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,32-34",241.52,16.085,E+T+0.2P,Holbourn et al. 2024,1.34,0.9,CMUND,Holbourn et al. 2024,1.34,1.54,d18O +0.64‰; d13C +0.00‰,1.14,1.64,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,36-38",241.56,16.089,E+T+0.2P,Holbourn et al. 2024,1.48,0.84,CMUND,Holbourn et al. 2024,1.48,1.48,d18O +0.64‰; d13C +0.00‰,1.28,1.58,d18O +0.10‰; d13C -0.20‰,,
