AGE(ka),GR(gAPI)
1331.636609,23.62098205
1333.035675,24.11551354
1334.434741,23.75321262
1335.833808,24.38777333
1337.232874,23.55377134
1338.63194,21.24065349
1340.031007,19.43275554
1341.430073,18.34817921
1342.829139,17.73120449
1344.228205,18.31042538
1345.627272,19.35450528
1347.026338,20.91317252
1348.425404,22.03642139
1349.824471,22.18763504
1351.223537,22.48678058
1352.622603,22.94224446
1354.021669,22.17296756
1355.420736,20.56882055
1356.819802,19.62063606
1358.218868,20.55897748
1359.617935,21.40553942
1361.017001,20.78223276
1362.416067,20.31025583
1363.815134,19.6323001
1365.2142,18.18556047
1366.613266,19.65814835
1368.012332,21.63930328
1369.411399,22.00574507
1370.810465,21.73302472
1372.209531,22.5925199
1373.608598,22.46361774
1375.007664,21.21429299
1376.40673,21.22455239
1377.805796,21.58355302
1379.204863,20.26824094
1380.603929,19.27068189
1382.002995,19.25163748
1383.402062,18.71983614
1384.801128,18.18952147
1386.200194,19.41849627
1387.599261,20.47332331
1388.998327,20.52838543
1390.397393,20.44071824
1391.796459,19.51807913
1393.195526,19.62638724
1394.594592,19.18577969
1395.993658,18.73510472
1397.392725,19.72679877
1398.791791,19.10344906
1400.190857,18.91879591
1401.589923,19.76783751
1402.98899,19.70413241
1404.388056,18.42043835
1405.787122,18.21438512
1407.186189,20.2865836
1408.585255,21.28248236
1409.984321,21.73911995
1411.383387,21.71727701
1412.782454,20.32727031
1414.18152,21.16543504
